id sire dam hwpmgs bwt
3929190371621 3890154281913 3890151191141 392955902 259
3929193451117 3893160581907 3893145801951 393157932 242
3929193451615 3893151131942 3893154281940 392955932 229
3929193481809 3893151131942 3893157411622 392954932 233
3929193522014 3893151131942 3893160611305 393054932 247
3929193541022 3893151131942 3893145701175 392904931 300
3929196632107 3896151181554 3896163761903 393055962 242
3929196661001 3896154281636 3896151201952 393056962 268
3929196661711 3896154281636 3896160631410 393154962 245
3929196682101 3896151231255 3896166961703 392956962 243
3929199771103 3899154361654 3899157411323 393055992 245
3929199801202 3899154361654 3899157491241 393055992 236
3929199831401 3899154361654 3899160682132 393055992 226
3932102871002 3902163781327 3902160582131 393456022 222
3932102951807 3902169101511 3902166921719 393456022 238
3932102971608 3902166911018 3902163761928 393404021 275
3932187101156 3887151131917 3887145791014 393405872 261
3932187141754 3887154381506 3887151191120 393307872 254
3932187171941 3887154331612 3887151201922 393306871 296
3932187191745 3887154331612 3887151211002 393306872 284
3932187201841 3887151131917 3887154251011 393205871 301
3932190252126 3890154291230 3890157402114 393455902 265
3932190261426 3890154281913 3890151121037 393204902 281
3932190361634 3890157511312 3890151171829 393306901 321
3932190391219 3890154281913 3890151121120 393356902 222
3932193471417 3893148921205 3893151121933 393306931 278
3932193501002 3893160581907 3893145722032 393204931 286
3932193501315 3893160581907 3893151191638 393254932 218
3932193531630 3893151131942 3893154341531 393204931 293
3932196551603 3896154281636 3896160551202 393455962 261
3932196661718 3896154281636 3896160631410 393356962 243
3932199751816 3899166881313 3899166961113 393455992 241
3932199761310 3899166911012 3899163721020 393455992 225
3932199771707 3899157511449 3899163831106 393404991 279
3932199811507 3899163731417 3899160651719 393355992 250
3932199811715 3899154311118 3899166901117 393305991 273
3935102871704 3902172361101 3902169101610 393655022 251
3935102891516 3902160551035 3902166911217 393754022 248
3935102901710 3902166911018 3902166921018 393554022 232
3935102961814 3902166861515 3902166921718 393655022 269
3935102961817 3902166881208 3902166921718 393604021 287
3935105131902 3905166971234 3905172341712 393705051 252
3935190261450 3890142681159 3890151121037 393706901 324
3935190261623 3890154291230 3890151201931 393504901 287
3935190291459 3890142681159 3890148911337 393706901 311
3935190311237 3890157511312 3890145831049 393556902 232
3935190311243 3890154281913 3890145831049 393707902 266
3935190351052 3887145822126 3890142561462 393505902 257
3935190351514 3890142681159 3890151121032 393504901 315
3935190351861 3890154291230 3890151231235 393556902 251
3935190361256 3890154281913 3890145831053 393554902 262
3935190361267 3890154291230 3890145831053 393707902 252
3935190371635 3887145822126 3890151191141 393555902 229
3935193412128 3893151131942 3893160611709 393655932 239
3935193431138 3893160581907 3893151111433 393554932 261
3935193451132 3893160581907 3893145801951 393556932 246
3935193481250 3893151191334 3893151121249 393555932 237
3935193481259 3893151191334 3893151121249 393707932 264
3935193491535 3893160581907 3893151211029 393655932 246
3935193511719 3893154281931 3893157451914 393656932 259
3935196551608 3896154281636 3896160551202 393554962 241
3935196551831 3896160591907 3896160661402 393655962 254
3935196551833 3896154251443 3896160661402 393706961 306
3935196561108 3896154281636 3896151221340 393655962 253
3935196571122 3896151231255 3896151111329 393756962 256
3935196572024 3896160671214 3896166881301 393555962 242
3935196621923 3896154251443 3896163731505 393605961 296
3935196661726 3896154251352 3896160631410 393504961 312
3935199701712 3899166881313 3899166911212 393555992 237
3935199741726 3899166911012 3899166931709 393756992 222
3935199751319 3899163791618 3899160561517 393756992 255
3935199811518 3899166911012 3899160651719 393656992 245
3935199811727 3899166911012 3899166901117 393554992 247
3935199822015 3899166881313 3899166921010 393655992 248
3938102851614 3902169101511 3902166971222 393854022 257
3938102921209 3902172361101 3902160551834 393856022 268
3938102931623 3902160551035 3902166921721 393804021 292
3938102941625 3902160551035 3902166871616 393906021 268
3938102961829 3902160551035 3902166921718 394056022 262
3938102971723 3902169101511 3902163812036 393856022 248
3938105101008 3905169231817 3905163721034 393906051 309
3938105121306 3905166861634 3905166961426 393855052 228
3938105151004 3905172292019 3905163721038 393854052 254
3938105161909 3905166971234 3905172301302 393955052 241
3938105191007 3905169231817 3905160601745 393955052 223
3938108251106 3908175402007 3908166921446 394056082 231
3938108281305 3908166901745 3908172261105 394005081 274
3938108301906 3908172321610 3908175431313 394055082 226
3938108321805 3908169111823 3908172322017 394005081 269
3938108331306 3908172361115 3908166971237 394056082 245
3938108331802 3908169111823 3908172341519 394005081 277
3938108361004 3908175402007 3908166911242 393954082 200
3938108371604 3908166901745 3908172342117 393955082 240
3938193441546 3893151131942 3893154361638 393856932 235
3938196551836 3896154251443 3896160661402 393855962 249
3938196611532 3896154251443 3896154291743 393856962 254
3938196641139 3896154251443 3896151172033 393908962 252
3938196661839 3896154281636 3896163751918 394006961 316
3938199731931 3899157491246 3899166971203 393954992 237
3938199751330 3899157511449 3899160561517 393907991 305
3938199751331 3899163791618 3899160561517 393956992 266
3938199811521 3899166911012 3899160651719 393804991 311
3938199822118 3899157511449 3899166922003 393856992 254
3938199841135 3899166881313 3899154381557 393854992 245
3941102851117 3902166881208 3902163721026 394254022 238
3941102901737 3902169141409 3902166921018 394356022 241
3941102941947 3902166921019 3902169161807 394355022 269
3941102951233 3902160551035 3902160631437 394207021 254
3941102962102 3902166881208 3902169221607 394155022 271
3941105101825 3905166971234 3905172271416 394356052 250
3941105141728 3905169231817 3905172341704 394254052 253
3941105151320 3905169231817 3905166861645 394154052 243
3941105151326 3905169231817 3905166861645 394255052 285
3941105152011 3905172292019 3905175451001 394156052 211
3941105201417 3905169231817 3905166931934 394254052 228
3941105201423 3905169231817 3905166931934 394356052 239
3941105211822 3905166971234 3905172271311 394156052 241
3941108251404 3908172321610 3908172271420 394254082 234
3941108271813 3908169111823 3908172321125 394356082 241
3941108301407 3908175402007 3908172261420 394155082 232
3941108321506 3908169151115 3908169191820 394305081 299
3941108321905 3908175402007 3908172341024 394254082 233
3941108331005 3908175402007 3908160631163 394256082 228
3941108362116 3908169111823 3908178571001 394206081 284
3941108371611 3908166901745 3908172342117 394155082 246
3941108371614 3908178551405 3908172342117 394206081 283
3941108371619 3908178551405 3908172342117 394356082 246
3941111511705 3911166931951 3911175491122 394354112 213
3941111521708 3911175442112 3911175501714 394354112 220
3941111531102 3911172261119 3911166971251 394256112 228
3941111541902 3911166931951 3911178551012 394356112 227
3941196581531 3896160591907 3896160561309 394254962 257
3941196642135 3896154281636 3896163771307 394107962 267
3941199701745 3899157511449 3899166911212 394307992 265
3941199721141 3899157491246 3899160581921 394106991 304
3941199811040 3899157491246 3899154261746 394254992 269
3941199811538 3899166911012 3899160651719 394207991 328
3941199811541 3899157521837 3899160651719 394306992 293
3941199811755 3899157402152 3899166901117 394306991 312
3944102941120 3902160551035 3902160602135 394506021 297
3944105101220 3905172292019 3905166921738 394454052 230
3944105141035 3905163721036 3905160651651 394506051 295
3944105151336 3905172292019 3905166861645 394455052 230
3944105152020 3905172292019 3905175451001 394454052 221
3944105221042 3905166971234 3905160602138 394555052 225
3944105241322 3905166971234 3905169111817 394556052 231
3944105241808 3905169231817 3905172281310 394456052 237
3944108251519 3908178551405 3908172271710 394405082 257
3944108251527 3908178551405 3908172271710 394604081 291
3944108282110 3908169151115 3908178571003 394405081 267
3944108331010 3908169111823 3908160631163 394405082 229
3944108371211 3908172361115 3908169141430 394455082 247
3944108371627 3908178551405 3908172342117 394556082 236
3944108371630 3908178551405 3908172342117 394556082 248
3944111401110 3911172271513 3911169151744 394454112 254
3944111441220 3911175531115 3911169181129 394604111 264
3944111471306 3911172261119 3911172302110 394554112 219
3944111481211 3911166902161 3911172321139 394654112 248
3944111491303 3911175442112 3911172321136 394454112 245
3944111511011 3911178641110 3911166922050 394604111 270
3944111532009 3911172261119 3911178551416 394455112 225
3944111541307 3911166931951 3911172361327 394455112 229
3944111541909 3911172261119 3911178551012 394554112 229
3944114591603 3914181822004 3914178691410 394506141 256
3944114692103 3914181822004 3914184921405 394506141 258
3944199751352 3899166881313 3899160561517 394506991 294
3944199811544 3899157491246 3899160651719 394406991 300
3947105161937 3905166971234 3905172301302 394707052 281
3947105182041 3905166971234 3905172311603 394707052 267
3947105201435 3905166971234 3905166931934 394806051 291
3947105211041 3905163741636 3905160581945 394806051 294
3947108251141 3908175402007 3908166921446 394755082 232
3947108271726 3908169111823 3908172292025 394756082 244
3947108281909 3908175402007 3908175411807 394754082 250
3947108321616 3908175402007 3908172271712 394955082 216
3947108341745 3908175402007 3908172271706 394854082 260
3947111401526 3911175531115 3911178551310 394954112 253
3947111452025 3911172261119 3911178661317 394756112 250
3947111461921 3911175442112 3911178661314 394805111 259
3947111491313 3911178641110 3911172321136 394756112 251
3947111511215 3911166902161 3911172271440 394754112 233
3947111511734 3911172261119 3911175491122 394954112 243
3947114671812 3914172261521 3914181751502 394906141 300
3947114681205 3914172261521 3914178652005 394856142 230
3947114682108 3914181822004 3914184891304 394705141 287
3947117771003 3917178661332 3917172292056 394906171 289
3947117791301 3917184991409 3917175442023 394955172 225
3950105182059 3905166861634 3905172311603 395106051 285
3950108301354 3908169111823 3908169141520 395256082 216
3950108311026 3908178551405 3908160561345 395106081 309
3950111421334 3911178641110 3911172271716 395056112 233
3950114681126 3914184921302 3914175451043 395054142 238
3953108272145 3908172341719 3908175411808 395308082 270
3953108361739 3908169111823 3908172342118 395408082 246
3953108381663 3908169111823 3908172271329 395308082 275
3953111401644 3911166931951 3911178551406 395407112 235
3953111441253 3911172271513 3911169181129 395354112 239
3953111481244 3911166931951 3911172321139 395354112 259
3953111491330 3911172311630 3911172321136 395555112 262
3953111501242 3911172271513 3911169151127 395455112 265
3953111501733 3911172271513 3911175491124 395354112 238
3953114571920 3914181802109 3914184931609 395354142 236
3953114621329 3914184921302 3914178571718 395355142 258
3953114621331 3914181802109 3914178571718 395354142 253
3953114631926 3914181802109 3914181792003 395307141 302
3953114632142 3914184921302 3914181841109 395355142 220
3953114661136 3914181822004 3914172311054 395555142 232
3953114662141 3914181822004 3914184981003 395407141 303
3953117702104 3917175481739 3917184921414 395356172 216
3953117711111 3917175481739 3917178581426 395356172 232
3953117711931 3917175481739 3917184861320 395554172 241
3953117711932 3917175481739 3917184861320 395554172 230
3953117731316 3917175481739 3917181711507 395456172 240
3953117731721 3917175481739 3917181831022 395406171 285
3953117731916 3917178661332 3917184871410 395454172 224
3953117741015 3917175481739 3917169111849 395354172 215
3953117742011 3917175481739 3917184921315 395554172 230
3953117762024 3917175481739 3917184951613 395505171 293
3953117811114 3917175481739 3917175411841 395356172 270
3953117811118 3917175481739 3917175411841 395455172 257
3953117811927 3917184991409 3917184911518 395506171 260
3953117821023 3917175481739 3917175411840 395355172 246
3953117821413 3917175481739 3917181731627 395355172 252
3953117821920 3917175481739 3917184951008 395554172 216
3953117822107 3917178661332 3917187101101 395306171 289
3953120851109 3920184961526 3920178641139 395505201 292
3953120861911 3920190381908 3920187211410 395456202 251
3953120881511 3920184961526 3920181792028 395454202 242
3953120881512 3920190271204 3920181792028 395455202 252
3953120921306 3920178551453 3920181791217 395306201 285
3953120931603 3920184961526 3920184941017 395555202 255
3953120941011 3920187142001 3920175481750 395456202 257
3953120951513 3920184911527 3920181791424 395456202 241
3953120971412 3920184951024 3920181781738 395456202 229
3953120991705 3920184961526 3920184891608 395505201 272
3956111401557 3911172311630 3911178551310 395706111 278
3956111401560 3911172311630 3911178551310 395707112 272
3956111401842 3911172261119 3911178591113 395707112 270
3956111452068 3911172261119 3911178661317 395656112 247
3956111461149 3911172311630 3911172261117 395707112 253
3956114561353 3914181802109 3914178661327 395655142 239
3956114561936 3914184921302 3914181802115 395755142 224
3956114571934 3914181822004 3914184931609 395755142 229
3956114601259 3914184921302 3914175491128 395817142 265
